state,url,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,April 01,April 02,April 03,April 04,April 05,April 06,April 07,April 08,April 09,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,June 01,June 02,June 03,June 04,June 05,June 06,June 07,June 08,June 09,June 10,June 11,June 12,June 13,June 14,June 15,June 16,June 17,June 18,June 19,June 20,June 21,June 22,June 23,June 24,June 25,June 26,June 27,June 28,June 29,June 30,July 01,July 02,July 03,July 04,July 05,July 06,July 07,July 08,July 09,July 10,July 11,July 12,July 13,July 14,July 15,July 16,July 17,July 18,July 19,July 20,July 21,July 22,July 23,July 24,July 25,July 26,July 27,July 28,July 29,July 30,July 31,August 01,August 02,August 03,August 04,August 05,August 06,August 07,August 08,August 09,August 10,August 11,August 12,August 13,August 14,August 15,August 16,August 17,August 18,August 19,August 20,August 21,August 22,August 23,August 24,August 25,August 26,August 27,August 28,August 29,August 30,August 31,September 01,September 02,September 03,September 04,September 05,September 06,September 07,September 08,September 09,September 10,September 11,September 12,September 13,September 14,September 15,September 16,September 17,September 18,September 19,September 20,September 21,September 22,September 23,September 24
Delaware,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/delaware-large.png,8.286,16.572,19.679,31.073,39.359,46.609,58.002,70.431,107.719,123.255,134.648,168.828,221.652,240.295,273.439,330.406,381.158,407.052,466.09,614.203,697.063,810.996,961.181,1155.903,1252.228,1373.412,1531.882,1683.102,1820.858,1994.865,2086.011,2144.013,2399.845,2628.747,2628.747,2843.148,3035.799,3314.417,3426.279,3565.07,3703.861,4178.237,4310.814,4738.581,4821.441,4903.266,5093.845,5218.135,5394.214,5477.074,5563.042,5984.594,6151.351,6329.501,6501.436,6501.436,6799.734,6982.027,7200.571,7481.261,7636.624,7816.845,7944.243,8150.359,8324.365,8486.979,8685.844,8833.957,8833.957,9123.969,9285.546,9390.158,9421.23,9498.912,9566.236,9758.887,9837.604,9948.43,10031.29,10059.256,10094.471,10122.437,10197.011,10297.479,10328.552,10378.268,10415.555,10467.343,10536.739,10594.741,10630.992,10709.71,10774.962,10817.428,10874.395,10990.4,11062.902,11160.263,11206.872,11234.838,11278.34,11372.593,11410.916,11487.562,11627.389,11782.752,11884.256,11921.544,12150.446,12349.311,12424.921,12561.64,12732.54,12857.866,12907.583,12979.05,13104.376,13198.63,13261.811,13339.493,13432.711,13516.607,13582.895,13813.869,13909.158,14002.376,14111.13,14237.492,14285.137,14421.857,14709.797,14681.832,14800.943,14921.091,14993.594,15124.099,15214.21,15316.75,15408.932,15483.506,15593.296,15678.228,15842.913,15914.38,15997.241,16056.279,16131.889,16192.999,16260.323,16328.682,16537.905,16924.242,16982.244,17039.211,17127.25,17186.288,17238.076,17315.757,17369.617,17429.69,17499.086,17547.766,17568.482,17593.34,17582.982,17693.808,17969.319,17963.104,18052.179,18161.969,18176.47,18284.188,18386.728,18531.734,18688.133,18901.499,18962.608,18962.608,19126.258,19222.583,19395.554,19522.952,19614.098,19821.249,19921.718,20008.721,20058.437,20144.405,20265.588,20370.2,20467.561,20539.028,20660.211
Ohio,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/ohio-large.png,4.282,5.738,7.365,10.192,14.816,21.24,30.489,37.94,48.56,60.293,74.338,97.376,120.414,141.568,165.548,188.33,218.133,248.451,283.651,320.22,346.256,381.369,409.546,440.892,472.066,503.411,535.27,565.588,597.362,623.911,667.504,720.602,779.953,875.445,993.633,1106.425,1175.454,1209.026,1258.442,1299.123,1334.922,1367.894,1398.126,1436.152,1481.885,1543.891,1605.212,1655.913,1705.5,1753.46,1795.854,1847.839,1895.371,1971.165,2029.489,2062.376,2121.983,2162.493,2202.83,2257.3,2308.429,2352.963,2391.417,2436.894,2479.544,2520.995,2583.6,2637.299,2689.884,2732.962,2781.436,2826.742,2863.825,2904.591,2960.345,3000.341,3041.449,3081.787,3113.133,3150.987,3192.952,3233.719,3263.951,3295.21,3326.128,3353.962,3389.332,3426.073,3462.043,3498.613,3524.049,3560.705,3597.874,3633.159,3693.109,3745.266,3790.657,3837.504,3899.937,3950.467,4004.594,4080.987,4165.517,4235.488,4308.627,4371.746,4435.379,4527.531,4527.531,4732.39,4811.696,4894.513,4963.541,5044.731,5154.098,5252.587,5383.193,5499.497,5617.513,5725.509,5823.314,5936.021,6046.5,6190.295,6322.272,6417.421,6523.276,6612.945,6743.722,6867.391,7000.995,7124.15,7200.286,7294.837,7407.886,7527.444,7675.864,7807.155,7886.632,7967.479,8047.298,8145.189,8247.875,8347.735,8450.849,8561.672,8636.952,8712.575,8806.355,8928.139,9029.027,9125.89,9221.553,9274.053,9340.426,9413.052,9496.211,9592.303,9681.629,9777.464,9832.018,9904.73,9977.012,10070.278,10176.818,10287.812,10390.241,10470.746,10547.397,10671.665,10771.097,10886.287,11000.364,11115.212,11181.414,11248.044,11304.226,11387.557,11483.563,11589.761,11696.13,11767.813,11860.222,11945.951,12034.421,12125.802,12212.387,12293.834,12359.094,12432.405,12491.071,12568.406,12653.279
Maryland,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/maryland-large.png,6.793,9.941,14.083,17.728,24.686,31.976,40.425,48.047,57.822,70.413,96.59,128.401,164.85,205.275,234.103,275.026,329.037,386.196,456.94,517.744,599.258,670.168,724.179,916.034,1024.719,1154.445,1274.727,1362.702,1480.499,1569.303,1662.082,1786.672,1917.227,2042.148,2128.466,2267.139,2351.469,2447.893,2607.276,2752.907,2943.437,3078.464,3228.568,3332.283,3454.222,3602.173,3888.796,4054.639,4218.495,4375.226,4492.692,4665.991,4866.628,5050.696,5224.492,5398.951,5529.174,5643.161,5767.585,5948.34,6127.769,6290.465,6428.972,6587.691,6883.261,7011.993,7212.132,7360.082,7537.524,7673.048,7812.052,7900.69,8022.629,8235.691,8447.593,8617.745,8744.157,8835.114,8975.609,9109.311,9254.445,9405.544,9523.507,9604.854,9676.262,9759.101,9852.046,9973.323,10042.245,10156.894,10222.502,10277.342,10339.802,10432.582,10475.658,10528.51,10596.106,10654.094,10703.3,10770.234,10824.908,10897.806,10953.805,11009.307,11063.484,11142.513,11193.044,11252.523,11336.19,11425.325,11488.283,11536.495,11581.56,11663.073,11740.113,11837.201,11913.91,12006.192,12112.558,12181.811,12303.253,12428.506,12535.865,12653.0,12791.341,12944.593,13036.379,13178.862,13282.742,13392.752,13546.833,13760.226,13875.207,14062.092,14169.451,14295.532,14443.317,14636.994,14805.82,14956.422,15100.562,15218.193,15312.961,15408.888,15541.597,15669.997,15822.752,15947.839,16044.761,16134.393,16262.959,16381.419,16516.943,16602.93,16686.266,16772.419,16841.01,16937.103,17048.107,17151.49,17247.418,17341.357,17403.818,17476.716,17572.313,17671.885,17776.262,17858.604,17934.485,18036.211,18111.76,18226.575,18362.266,18490.832,18575.659,18702.237,18761.218,18816.886,18900.222,19007.25,19141.284,19236.88,19325.684,19424.925,19531.456,19635.999,19725.962,19838.954,19907.214,19975.473,20032.466,20096.252,20179.588
Arizona,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/arizona-large.png,2.515,2.794,3.772,6.287,10.897,16.485,21.235,32.83,45.543,56.021,70.969,92.903,107.991,128.387,161.637,180.078,213.746,239.591,270.605,305.531,347.303,381.67,400.949,424.139,421.625,434.757,474.013,494.829,517.601,532.13,553.784,591.923,630.202,659.959,689.157,708.017,734.281,764.596,806.368,844.507,878.175,912.822,939.505,971.637,1007.122,1069.429,1113.296,1168.479,1207.037,1246.713,1299.94,1356.101,1389.35,1470.518,1531.149,1553.362,1590.243,1639.559,1706.616,1770.6,1839.754,1909.186,1948.163,1984.905,2036.316,2082.418,2144.167,2182.725,2242.658,2287.922,2315.583,2355.957,2419.383,2497.477,2580.6,2690.407,2785.126,2812.089,2970.652,3123.208,3197.251,3414.21,3555.59,3770.454,3866.71,3953.046,4170.425,4368.105,4615.659,4842.118,4988.248,5147.231,5474.276,5719.036,6069.412,6553.485,7002.91,7347.139,7627.664,8155.603,8408.745,8840.568,9312.486,9796.558,10326.872,10414.187,11068.418,11749.751,12216.36,12834.827,13211.328,13705.319,14173.604,14681.985,15173.741,15740.517,16330.205,16754.624,17109.051,17298.629,17895.581,18350.595,18805.888,19352.128,19735.195,20064.755,20282.553,20771.515,21040.583,21366.791,21835.775,22358.265,22633.9,22887.182,23181.537,23508.303,23861.054,24309.782,24727.774,24932.439,25076.334,25217.155,25454.371,25657.36,25852.526,25999.773,26113.771,26197.593,26367.193,26465.824,26654.563,26784.068,26914.411,27037.769,27103.15,27230.979,27319.97,27420.975,27507.452,27646.596,27675.655,27719.102,27839.108,27865.092,27960.091,28032.597,28120.47,28172.719,28197.028,28267.857,28340.363,28492.919,28594.623,28711.415,28746.341,28773.863,28785.179,28854.472,28918.875,28991.66,29076.181,29129.827,29159.584,29227.2,29324.713,29569.613,29748.713,29833.792,29899.453,29931.584,30014.708,30075.898,30155.25
Oregon,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/oregon-large.png,9.326,15.782,16.261,21.043,27.26,27.26,38.499,45.673,50.217,63.608,75.564,99.477,114.542,131.041,144.911,164.997,175.997,197.519,214.975,214.975,255.387,255.387,270.691,282.408,315.886,316.125,327.843,365.146,378.776,390.494,397.667,415.124,426.841,440.949,456.732,467.971,479.21,492.362,508.622,520.579,538.752,552.621,562.904,570.317,584.904,600.208,616.707,630.098,640.859,659.75,678.88,697.293,714.749,733.64,755.64,771.901,785.77,802.987,816.856,831.921,846.747,863.725,866.356,881.66,890.986,908.92,912.746,923.985,929.724,939.05,944.311,948.615,965.593,977.071,987.832,1000.745,1014.614,1028.722,1036.614,1051.918,1069.852,1092.808,1092.808,1114.808,1176.981,1192.763,1209.98,1252.306,1285.783,1285.783,1285.783,1391.717,1458.194,1486.889,1522.28,1571.54,1571.54,1571.54,1693.733,1739.407,1780.058,1809.71,1869.491,1935.49,1994.555,2028.989,2069.879,2135.639,2222.442,2304.224,2374.527,2446.265,2485.721,2535.937,2586.632,2675.348,2738.956,2833.889,2910.17,2974.256,3062.016,3128.014,3230.361,3300.425,3383.402,3486.226,3550.312,3620.137,3680.875,3757.396,3850.894,3850.894,4007.283,4086.195,4162.715,4237.562,4335.604,4421.928,4499.644,4566.6,4630.925,4710.554,4777.27,4836.095,4934.376,5024.049,5086.7,5138.351,5206.742,5266.045,5332.522,5407.369,5504.215,5562.562,5607.757,5661.56,5707.951,5778.493,5839.71,5908.817,5963.099,6015.229,6071.662,6114.705,6160.139,6230.203,6287.355,6349.767,6387.788,6443.504,6474.352,6536.764,6600.132,6661.109,6706.065,6740.978,6780.673,6808.172,6851.932,6902.388,6971.974,7015.256,7015.256,7092.972,7137.928,7188.144,7255.578,7317.034,7365.337,7411.728,7487.77,7533.204,7619.768
Montana,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/montana-large.png,6.6,8.485,10.371,10.371,14.142,19.799,32.055,32.055,48.083,61.282,84.852,102.766,121.622,145.192,161.22,186.675,196.103,227.216,229.102,249.843,269.642,281.899,300.755,313.011,333.753,344.124,355.437,364.865,371.465,376.179,380.893,391.264,397.864,401.635,408.234,408.234,412.006,413.891,416.72,418.605,419.548,422.377,423.319,425.205,425.205,427.091,427.091,428.976,428.976,430.862,429.919,429.919,429.919,431.805,431.805,431.805,432.747,434.633,435.576,435.576,439.347,441.233,441.233,443.118,444.061,450.661,451.603,451.603,451.603,451.603,451.603,451.603,453.489,457.26,464.803,476.116,485.544,489.316,493.087,494.972,508.172,510.057,509.115,513.829,516.657,522.314,528.913,530.799,540.227,554.369,566.626,574.168,578.882,593.967,617.537,627.908,658.078,675.991,692.019,700.504,722.188,757.072,781.585,803.27,813.64,866.438,911.692,957.89,1021.058,1063.484,1100.253,1142.679,1177.563,1251.102,1292.585,1382.152,1501.888,1581.084,1657.451,1737.589,1840.355,1976.119,2103.397,2230.676,2329.671,2388.124,2470.148,2555.944,2651.167,2742.619,2864.241,3072.601,3149.911,3186.68,3275.304,3465.75,3595.857,3738.221,3847.586,3953.18,3990.893,4067.26,4175.682,4338.787,4484.922,4609.372,4668.769,4730.051,4812.075,4966.695,5097.745,5224.081,5335.332,5421.127,5460.725,5511.637,5615.345,5724.71,5860.474,6011.323,6061.292,6117.86,6245.139,6396.93,6532.694,6659.03,6836.277,6920.187,6996.554,7079.521,7251.111,7420.816,7560.351,7697.058,7791.338,7840.364,7901.647,7983.671,8167.518,8282.54,8414.532,8505.042,8586.123,8715.287,8891.592,9095.237,9306.426,9581.725,9709.946,9832.511,10088.011,10287.885,10599.011
Tennessee,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/tennessee-large.png,7.679,10.928,11.666,22.742,34.408,54.787,74.576,90.672,114.005,135.27,161.999,194.636,223.137,254.001,283.093,353.091,433.131,444.945,452.919,490.576,536.503,561.46,611.226,644.306,684.326,722.278,757.868,813.393,828.456,860.502,860.502,941.428,924.888,973.03,1044.062,1068.871,1091.908,1091.908,1220.681,1288.907,1356.985,1427.573,1464.64,1484.428,1530.798,1585.29,1756.002,1869.712,1945.912,2004.096,2021.67,2058.293,2081.626,2132.573,2180.863,2212.909,2295.459,2379.19,2417.438,2466.023,2504.566,2549.312,2563.489,2659.773,2718.99,2718.99,2800.064,2864.007,2921.748,2969.89,3032.504,3085.667,3143.26,3201.444,3258.152,3332.432,3332.432,3332.432,3594.703,3667.211,3719.931,3789.929,3865.686,3912.351,3987.961,4072.136,4124.56,4185.107,4299.998,4363.646,4480.9,4578.513,4688.826,4742.432,4839.307,5023.457,5086.81,5183.685,5250.286,5361.042,5498.675,5616.668,5824.889,5932.396,5932.396,6246.206,6425.188,6691.889,6924.477,7193.54,7404.42,7578.086,7684.855,7902.675,8267.728,8504.746,8793.45,9009.056,9149.937,9639.332,9862.912,10198.577,10564.663,10901.214,11272.912,11535.626,11777.665,12101.073,12466.273,12845.797,13154.586,13408.291,13871.99,14249.004,14626.314,14888.88,15191.466,15647.486,15976.062,16189.157,16338.161,16604.715,16849.412,17181.976,17541.121,17807.379,18121.484,18298.989,18446.811,18665.075,18977.85,19265.373,19455.726,19745.317,19898.308,20049.823,20349.603,20552.656,20799.125,20982.094,21255.884,21354.383,21474.442,21760.341,22029.995,22271.592,22487.935,22611.244,22879.717,23085.871,23307.679,23560.941,23716.148,23976.794,24237.292,24382.457,24477.707,24603.526,24844.384,25083.913,25236.313,25374.094,25735.897,25877.222,26151.307,26306.809,26654.878,26793.988,27100.413,27232.583,27341.714,27585.378,27717.104
Alabama,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/alabama-large.png,5.933,7.979,9.411,15.958,16.981,26.802,32.122,40.101,49.512,77.951,105.776,120.098,141.99,168.792,183.932,201.936,216.872,252.267,305.871,330.218,361.112,399.371,443.769,476.299,553.023,602.944,658.185,728.976,763.961,808.768,833.729,888.97,935.208,964.056,1000.065,1039.143,1087.837,1144.305,1193.204,1232.896,1232.896,1313.711,1337.853,1381.023,1414.168,1450.176,1492.323,1557.18,1613.853,1659.683,1726.176,1778.144,1850.775,1920.133,1978.034,2023.25,2079.514,2140.893,2189.177,2271.22,2326.87,2388.454,2408.3,2472.747,2532.08,2670.387,2718.672,2796.827,2888.282,2962.141,3066.076,3201.927,3280.083,3381.972,3484.475,3551.582,3672.907,3811.624,3839.449,3856.839,3902.055,3966.503,4100.718,4194.218,4281.171,4382.856,4498.862,4673.996,4850.971,5033.266,5240.727,5375.146,5506.088,5587.926,5770.835,5933.693,6045.607,6142.177,6230.767,6362.322,6560.166,6793.815,6993.705,7177.842,7251.087,7605.856,7783.855,7971.469,8206.55,8565.412,8769.394,8992.608,9181.859,9367.428,9608.238,10060.804,10333.735,10628.149,10963.686,11364.285,11714.144,12084.872,12498.361,12908.166,13346.616,13710.183,14094.823,14394.966,14692.653,15183.479,15550.319,15985.086,16223.236,16595.805,16851.754,17141.462,17546.562,17947.775,18280.448,18709.077,18958.07,19171.055,19365.83,19762.337,20111.992,20494.995,20732.531,21077.48,21247.5,21438.797,21596.54,21750.397,22010.438,22184.958,22301.783,22579.42,22807.953,23006.616,23248.653,23432.789,23540.816,23878.4,23987.245,24398.892,24760.822,24998.563,25347.194,25622.581,25790.963,26109.724,26237.187,26451.194,26677.887,26966.367,27070.916,27205.744,27335.254,27501.181,27736.057,27968.887,28161.822,28388.718,28532.754,28676.176,28865.836,29002.916,29229.199,29495.378,29658.646,29826.005,29990.501,30106.916,30322.355
Indiana,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/indiana-large.png,3.734,4.481,5.825,8.961,12.844,19.117,30.468,40.326,54.962,71.242,96.333,146.218,184.154,225.973,266.746,322.306,382.944,453.738,513.33,590.397,658.801,740.199,822.941,887.611,948.548,1031.589,1110.448,1184.079,1248.451,1273.543,1338.213,1425.137,1516.542,1589.277,1674.409,1745.651,1806.737,1857.666,1947.428,2043.314,2150.55,2242.104,2383.841,2477.486,2566.202,2663.731,2782.467,2881.788,2977.075,3062.805,3141.365,3266.374,3360.916,3456.95,3544.472,3603.317,3678.144,3752.821,3804.497,3891.123,3981.183,4074.38,4148.758,4220.0,4287.21,4372.192,4471.065,4541.709,4615.191,4686.135,4736.766,4790.981,4844.599,4938.842,5012.025,5109.553,5163.769,5202.004,5262.791,5333.734,5391.086,5463.075,5525.654,5585.396,5619.15,5680.385,5725.789,5787.173,5846.616,5905.91,5960.573,6038.387,6091.557,6125.46,6188.936,6234.937,6281.983,6336.049,6367.414,6402.96,6443.136,6520.054,6592.49,6657.459,6710.48,6754.988,6809.651,6863.12,6928.089,7006.948,7084.164,7199.017,7247.259,7262.493,7327.761,7404.23,7512.512,7628.859,7708.464,7771.94,7868.721,7971.029,8077.07,8186.547,8312.154,8449.111,8543.951,8649.993,8763.054,8901.804,9050.56,9188.265,9315.515,9395.419,9510.571,9603.32,9745.804,9880.372,10024.947,10134.722,10220.75,10343.519,10451.054,10606.382,10791.432,10945.715,11101.192,11200.363,11330.302,11428.875,11584.652,11744.012,11899.938,12010.311,12098.579,12224.186,12297.22,12437.762,12593.091,12742.445,12834.297,13082.225,13206.04,13346.134,13517.144,13637.972,13805.398,13936.68,14068.56,14172.361,14300.656,14465.543,14619.378,14780.232,14906.138,14994.257,15051.907,15157.202,15270.412,15458.897,15616.615,15802.262,15912.187,16015.092,16101.717,16226.727,16381.607,16542.312,16653.73,16731.693,16821.156,16927.347,17061.616
Connecticut,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/connecticut-large.png,8.4,19.04,19.04,44.519,54.319,54.319,91.558,116.197,173.036,244.994,283.353,361.471,426.709,558.026,719.862,875.818,995.935,1070.693,1375.885,1477.242,1588.959,1933.63,2178.624,2178.624,2739.45,2950.564,3222.717,3369.714,3746.584,3916.82,4131.294,4447.406,4706.4,4913.874,5029.231,5548.058,5700.654,6291.159,6467.834,6701.908,6883.064,7075.139,7278.974,7367.171,7494.568,7755.801,8053.714,8200.15,8200.15,8392.225,8573.661,8678.378,8899.292,9074.848,9235.284,9394.879,9453.958,9612.994,9759.15,9929.666,10103.541,10276.577,10477.052,10672.207,10760.125,10924.48,10977.959,11098.916,11205.873,11330.75,11444.147,11564.544,11560.344,11636.222,11693.061,11765.859,11815.978,11966.894,12033.812,12065.171,12106.61,12168.488,12268.726,12310.725,12345.444,12369.803,12416.842,12448.761,12512.6,12597.997,12624.317,12665.476,12697.395,12719.794,12722.874,12755.633,12799.872,12811.072,12818.632,12851.391,12855.311,12877.99,12896.19,12937.349,12964.508,12981.028,13023.587,13039.826,13060.546,13080.425,13080.425,13080.425,13152.943,13168.903,13189.902,13218.182,13240.021,13240.021,13240.021,13302.459,13308.059,13337.739,13369.658,13409.697,13409.697,13409.697,13455.056,13466.535,13502.094,13504.614,13656.93,13656.93,13656.93,13714.889,13741.208,13870.845,13907.244,13946.443,13946.443,13946.443,14017.001,14030.441,14062.64,14068.24,14089.239,14089.239,14089.239,14158.398,14191.157,14197.317,14218.596,14250.795,14250.795,14250.795,14354.393,14351.033,14367.552,14400.591,14424.951,14424.951,14424.951,14562.707,14570.827,14621.226,14657.625,14698.224,14698.224,14698.224,14805.741,14841.3,14869.859,14898.139,14941.817,14941.817,14941.817,14941.817,15058.575,15083.494,15145.652,15210.891,15210.891,15210.891,15370.207,15408.286,15446.085,15507.683,15547.162,15547.162,15547.162,15686.318,15724.397,15767.796,15811.755
Mississippi,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/mississippi-large.png,4.361,7.045,11.405,16.773,26.836,46.964,69.439,83.528,107.346,126.467,162.696,194.229,222.407,254.611,284.131,314.322,359.944,394.831,455.549,488.088,549.476,583.022,642.398,671.918,758.13,828.24,886.274,932.902,986.911,1035.552,1127.131,1215.691,1272.383,1333.101,1433.737,1513.576,1582.009,1641.72,1728.603,1822.866,1918.135,1982.878,2044.267,2127.46,2203.608,2286.13,2419.306,2496.125,2532.69,2642.384,2753.085,2825.878,2913.768,3049.292,3145.903,3187.164,3245.198,3323.695,3384.748,3516.582,3623.256,3731.273,3789.307,3834.929,3926.173,4014.398,4099.939,4235.128,4362.601,4448.142,4514.562,4606.142,4711.139,4821.169,4962.395,5108.654,5207.278,5284.097,5381.044,5475.307,5555.146,5625.256,5715.829,5793.319,5960.376,6079.463,6200.227,6200.227,6404.184,6490.396,6546.752,6641.686,6760.102,6924.14,6924.14,6924.14,6924.14,6924.14,7490.389,7681.263,7857.713,8224.031,8408.531,8564.518,8685.618,8912.05,9140.16,9359.213,9651.059,9957.665,10289.767,10365.58,10485.337,10806.368,11032.465,11268.291,11614.145,11881.504,12172.679,12304.513,12593.676,12937.518,13350.128,13696.319,14037.477,14303.158,14722.813,15271.283,15790.233,16119.65,16633.568,17101.864,17495.354,17705.685,18143.119,18719.767,19315.201,19707.013,20087.42,20312.846,20504.727,20865.006,21282.648,21603.344,21950.876,22356.777,22533.562,22693.239,22909.273,23271.9,23477.199,23793.869,24070.62,24198.429,24291.014,24557.702,25009.896,25309.793,25602.982,25919.987,26129.982,26301.4,26570.1,26873.352,27069.594,27270.532,27517.091,27734.131,27826.046,28038.725,28300.716,28552.643,28828.723,29009.534,29147.07,29228.251,29311.779,29454.683,29628.114,29914.258,30063.535,30148.741,30197.047,30366.452,30604.961,30840.115,31006.837,31226.56,31319.481,31383.889,31539.876,31725.047,31972.278
Wyoming,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/wyoming-large.png,5.194,19.044,25.969,31.163,32.895,39.82,45.014,45.014,50.208,76.177,91.759,121.191,141.967,148.892,162.742,188.712,225.069,259.695,280.47,323.753,341.066,363.573,373.961,382.617,398.199,413.78,451.869,467.451,476.107,488.226,496.883,512.464,528.046,534.971,541.897,548.822,766.965,773.891,784.278,818.904,850.068,869.112,900.275,927.976,943.558,967.796,979.915,1002.422,1014.541,1031.854,1045.705,1092.45,1099.375,1114.957,1130.538,1146.12,1158.239,1168.627,1191.134,1213.641,1239.61,1282.893,1305.399,1326.175,1343.488,1362.532,1386.77,1390.233,1407.546,1450.829,1459.485,1471.604,1488.917,1516.618,1542.587,1554.706,1563.363,1575.482,1578.945,1584.139,1594.526,1615.302,1625.69,1639.54,1662.047,1679.36,1696.673,1746.881,1778.044,1817.864,1835.177,1868.072,1885.385,1928.667,1980.606,2030.814,2041.201,2072.365,2129.498,2171.049,2219.525,2295.702,2368.417,2409.968,2453.251,2510.383,2574.442,2621.187,2683.513,2738.915,2780.466,2828.942,2899.926,2958.79,3012.46,3062.668,3099.025,3183.859,3223.679,3294.662,3376.033,3436.628,3507.612,3582.058,3649.578,3680.742,3786.351,3874.647,3961.212,4063.359,4163.774,4234.757,4284.965,4362.873,4482.333,4549.854,4650.269,4719.521,4793.967,4861.487,4930.739,4993.066,5060.587,5112.526,5193.897,5219.866,5280.462,5266.611,5320.282,5342.789,5399.921,5510.725,5586.902,5689.048,5766.957,5817.164,5940.087,5985.1,6101.097,6133.992,6194.588,6237.87,6288.078,6371.18,6462.939,6584.13,6570.279,6629.144,6665.501,6707.052,6771.11,6823.049,6907.883,6907.883,6980.597,6980.597,7106.982,7188.353,7269.724,7382.259,7439.392,7524.225,7607.328,7686.967,7905.111,8054.003,8218.476,8277.34,8434.888,8559.542,8684.195,8949.084,9184.541
Illinois,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/illinois-large.png,8.253,12.654,12.733,33.168,45.979,59.184,82.449,100.998,120.804,146.584,199.48,237.678,274.383,361.234,397.388,471.113,548.61,604.807,699.831,814.033,884.928,963.761,964.468,1185.091,1185.17,1405.871,1507.498,1638.912,1731.107,1827.232,1932.945,2022.625,2167.558,2291.899,2385.981,2476.839,2598.351,2759.318,2903.151,3117.015,3283.563,3450.661,3606.283,3780.691,3958.007,4159.216,4405.776,4598.34,4833.66,5012.705,5178.703,5362.856,5570.275,5797.342,5980.081,6110.239,6209.743,6525.233,6656.726,6911.617,7102.766,7266.878,7403.165,7583.468,7704.901,7892.591,8071.007,8287.622,8472.483,8669.605,8804.242,8896.83,8984.152,9104.17,9231.655,9346.564,9452.12,9528.674,9655.53,9732.713,9805.73,9896.589,9973.221,10041.365,10093.082,10155.724,10204.848,10265.053,10311.819,10364.715,10417.532,10454.709,10503.675,10546.589,10593.197,10647.587,10697.417,10749.134,10785.446,10832.683,10888.881,10959.147,11026.505,11088.282,11139.056,11197.061,11253.965,11319.044,11319.044,11455.568,11523.319,11573.542,11621.801,11756.124,11833.149,11913.162,12017.46,12111.384,12186.366,12255.767,12311.336,12404.631,12503.428,12615.586,12715.877,12791.723,12883.839,12957.878,13084.498,13211.905,13337.66,13449.74,13570.859,13667.612,13752.026,13861.669,14000.944,14156.566,14285.388,14400.926,14502.945,14618.562,14756.815,14910.315,15075.606,15247.734,15356.355,15460.025,15581.773,15711.065,15855.213,16035.673,16179.349,16302.039,16441.392,16578.073,16758.533,16902.523,17082.747,17267.922,17416.707,17543.406,17675.528,17844.984,17979.15,18170.613,18318.376,18474.942,18605.885,18723.153,18890.408,18997.3,19436.974,19657.361,19768.419,19876.019,19985.426,20090.511,20244.012,20425.808,20592.434,20707.186,20815.022,20930.088,21082.803,21244.399,21419.121,21617.501,21727.695,21843.783,21964.273,22109.678,22286.993
